GEOID,Census_Tract,County,State,Total,Total_Owner,Owner_plumbing,Owner_no_plumbing,Total_Renter,Renter_plumbing,Renter_no_plumbing
36005046203,Census Tract 462.03, Bronx, New York,3193,1536,1536,0,1657,1657,0,
36005046204,Census Tract 462.04, Bronx, New York,2424,1269,1269,0,1155,1155,0,
36005046205,Census Tract 462.05, Bronx, New York,1909,714,714,0,1195,1195,0,
36005046206,Census Tract 462.06, Bronx, New York,1998,846,846,0,1152,1079,73,
36005046207,Census Tract 462.07, Bronx, New York,2977,1951,1951,0,1026,1026,0,
36005046208,Census Tract 462.08, Bronx, New York,1460,629,629,0,831,831,0,
36005046209,Census Tract 462.09, Bronx, New York,1447,169,169,0,1278,1221,57,
36005048401,Census Tract 484.01, Bronx, New York,1272,605,605,0,667,667,0,
36005048402,Census Tract 484.02, Bronx, New York,0,0,0,0,0,0,0,
36005050400,Census Tract 504, Bronx, New York,0,0,0,0,0,0,0,
36005051601,Census Tract 516.01, Bronx, New York,1874,1154,1154,0,720,720,0,
36005051602,Census Tract 516.02, Bronx, New York,0,0,0,0,0,0,0,
36047000100,Census Tract 1, Kings, New York,2369,1178,1178,0,1191,1191,0,
36047000200,Census Tract 2, Kings, New York,340,44,44,0,296,288,8,
36047000301,Census Tract 3.01, Kings, New York,1786,999,999,0,787,787,0,
36047000501,Census Tract 5.01, Kings, New York,1934,1123,1123,0,811,811,0,
36047000502,Census Tract 5.02, Kings, New York,1464,550,550,0,914,914,0,
36047000700,Census Tract 7, Kings, New York,1669,691,691,0,978,978,0,
36047000900,Census Tract 9, Kings, New York,2284,714,714,0,1570,1570,0,
36047001100,Census Tract 11, Kings, New York,818,84,84,0,734,734,0,
36047001300,Census Tract 13, Kings, New York,1021,819,819,0,202,202,0,
36047001501,Census Tract 15.01, Kings, New York,2290,107,107,0,2183,2107,76,
36047001502,Census Tract 15.02, Kings, New York,2230,413,413,0,1817,1817,0,
36047001801,Census Tract 18.01, Kings, New York,0,0,0,0,0,0,0,
36047001802,Census Tract 18.02, Kings, New York,0,0,0,0,0,0,0,
36047001803,Census Tract 18.03, Kings, New York,0,0,0,0,0,0,0,
36047001804,Census Tract 18.04, Kings, New York,0,0,0,0,0,0,0,
36047002000,Census Tract 20, Kings, New York,388,79,79,0,309,309,0,
36047002100,Census Tract 21, Kings, New York,2062,969,969,0,1093,1071,22,
36047002200,Census Tract 22, Kings, New York,1570,520,520,0,1050,1050,0,
36047002300,Census Tract 23, Kings, New York,1475,71,71,0,1404,1394,10,
36047002901,Census Tract 29.01, Kings, New York,1471,12,12,0,1459,1459,0,
36047003000,Census Tract 30, Kings, New York,684,365,365,0,319,319,0,
36047003101,Census Tract 31.01, Kings, New York,1257,621,621,0,636,636,0,
36047003102,Census Tract 31.02, Kings, New York,0,0,0,0,0,0,0,
36047003300,Census Tract 33, Kings, New York,2218,289,289,0,1929,1890,39,
36047003400,Census Tract 34, Kings, New York,1305,713,713,0,592,592,0,
36047003500,Census Tract 35, Kings, New York,1115,202,202,0,913,913,0,
36047003600,Census Tract 36, Kings, New York,1800,696,696,0,1104,1104,0,
36047003700,Census Tract 37, Kings, New York,1397,195,195,0,1202,1202,0,
36047003800,Census Tract 38, Kings, New York,559,361,361,0,198,198,0,
36047003900,Census Tract 39, Kings, New York,1030,323,323,0,707,670,37,
36047004100,Census Tract 41, Kings, New York,1312,447,447,0,865,865,0,
36047004300,Census Tract 43, Kings, New York,1710,453,453,0,1257,1257,0,
36047004400,Census Tract 44, Kings, New York,960,732,729,3,228,228,0,
36047004500,Census Tract 45, Kings, New York,1564,620,620,0,944,944,0,
36047004600,Census Tract 46, Kings, New York,538,410,410,0,128,128,0,
36047004700,Census Tract 47, Kings, New York,735,263,263,0,472,472,0,
36047004900,Census Tract 49, Kings, New York,996,423,423,0,573,573,0,
36047005000,Census Tract 50, Kings, New York,966,588,588,0,378,378,0,
36047005100,Census Tract 51, Kings, New York,1084,510,510,0,574,574,0,
36047005201,Census Tract 52.01, Kings, New York,964,211,211,0,753,753,0,
36047005202,Census Tract 52.02, Kings, New York,1337,735,735,0,602,602,0,
36047005301,Census Tract 53.01, Kings, New York,902,317,317,0,585,585,0,
36047005302,Census Tract 53.02, Kings, New York,32,0,0,0,32,32,0,
36047005303,Census Tract 53.03, Kings, New York,0,0,0,0,0,0,0,
36047005400,Census Tract 54, Kings, New York,1632,506,506,0,1126,1119,7,
36047005601,Census Tract 56.01, Kings, New York,1266,626,626,0,640,640,0,
36047005602,Census Tract 56.02, Kings, New York,915,481,481,0,434,434,0,
36047005800,Census Tract 58, Kings, New York,1325,342,342,0,983,983,0,
36047005900,Census Tract 59, Kings, New York,537,42,42,0,495,495,0,
36047006000,Census Tract 60, Kings, New York,1089,349,341,8,740,740,0,
36047006200,Census Tract 62, Kings, New York,1065,263,263,0,802,802,0,
36047006300,Census Tract 63, Kings, New York,926,282,282,0,644,644,0,
36047006400,Census Tract 64, Kings, New York,1299,569,569,0,730,730,0,
36047006500,Census Tract 65, Kings, New York,2400,1075,1075,0,1325,1325,0,
36047006600,Census Tract 66, Kings, New York,1646,411,411,0,1235,1228,7,
36047006700,Census Tract 67, Kings, New York,1525,685,685,0,840,840,0,
36047006800,Census Tract 68, Kings, New York,1694,419,419,0,1275,1275,0,
36047006901,Census Tract 69.01, Kings, New York,845,235,235,0,610,610,0,
36047006902,Census Tract 69.02, Kings, New York,903,269,269,0,634,634,0,
36047007000,Census Tract 70, Kings, New York,1088,684,684,0,404,404,0,
36047007100,Census Tract 71, Kings, New York,1728,276,276,0,1452,1452,0,
36047007200,Census Tract 72, Kings, New York,529,80,80,0,449,449,0,
36047007400,Census Tract 74, Kings, New York,1538,287,287,0,1251,1251,0,
36047007500,Census Tract 75, Kings, New York,2077,856,856,0,1221,1221,0,
36047007600,Census Tract 76, Kings, New York,1382,358,358,0,1024,1024,0,
36047007700,Census Tract 77, Kings, New York,2427,1077,1077,0,1350,1319,31,
36047007800,Census Tract 78, Kings, New York,1409,222,222,0,1187,1187,0,
36047008000,Census Tract 80, Kings, New York,1208,452,452,0,756,756,0,
36047008200,Census Tract 82, Kings, New York,1392,236,236,0,1156,1156,0,
36047008400,Census Tract 84, Kings, New York,1240,262,262,0,978,978,0,
36047008500,Census Tract 85, Kings, New York,3076,0,0,0,3076,3076,0,
36047008600,Census Tract 86, Kings, New York,0,0,0,0,0,0,0,
36047008800,Census Tract 88, Kings, New York,1039,335,335,0,704,704,0,
36047009001,Census Tract 90.01, Kings, New York,458,105,105,0,353,353,0,
36047009002,Census Tract 90.02, Kings, New York,426,90,90,0,336,336,0,
36047009201,Census Tract 92.01, Kings, New York,567,192,192,0,375,375,0,
36047009202,Census Tract 92.02, Kings, New York,1133,183,183,0,950,950,0,
36047009401,Census Tract 94.01, Kings, New York,612,201,201,0,411,411,0,
36047009402,Census Tract 94.02, Kings, New York,800,148,148,0,652,652,0,
36047009600,Census Tract 96, Kings, New York,1878,577,577,0,1301,1301,0,
36047009800,Census Tract 98, Kings, New York,1676,337,337,0,1339,1339,0,
36047010000,Census Tract 100, Kings, New York,1734,462,462,0,1272,1272,0,
36047010100,Census Tract 101, Kings, New York,1494,408,408,0,1086,1086,0,
36047010200,Census Tract 102, Kings, New York,1244,307,307,0,937,937,0,
36047010401,Census Tract 104.01, Kings, New York,593,159,159,0,434,434,0,
36047010402,Census Tract 104.02, Kings, New York,647,156,156,0,491,491,0,
36047010601,Census Tract 106.01, Kings, New York,694,134,134,0,560,560,0,
36047010602,Census Tract 106.02, Kings, New York,550,222,222,0,328,328,0,
36047010801,Census Tract 108.01, Kings, New York,595,204,204,0,391,391,0,
36047010802,Census Tract 108.02, Kings, New York,737,127,109,18,610,610,0,
36047011000,Census Tract 110, Kings, New York,631,293,293,0,338,333,5,
36047011200,Census Tract 112, Kings, New York,2106,310,310,0,1796,1796,0,
36047011400,Census Tract 114, Kings, New York,906,197,197,0,709,709,0,
36047011600,Census Tract 116, Kings, New York,1024,227,227,0,797,781,16,
36047011700,Census Tract 117, Kings, New York,1153,371,371,0,782,782,0,
36047011800,Census Tract 118, Kings, New York,577,101,97,4,476,463,13,
36047011901,Census Tract 119.01, Kings, New York,589,227,227,0,362,359,3,
36047011902,Census Tract 119.02, Kings, New York,0,0,0,0,0,0,0,
36047012000,Census Tract 120, Kings, New York,352,170,170,0,182,182,0,
36047012100,Census Tract 121, Kings, New York,814,284,284,0,530,530,0,
36047012200,Census Tract 122, Kings, New York,1563,283,283,0,1280,1280,0,
36047012600,Census Tract 126, Kings, New York,842,256,256,0,586,586,0,
36047012700,Census Tract 127, Kings, New York,1622,310,310,0,1312,1299,13,
36047012801,Census Tract 128.01, Kings, New York,798,253,247,6,545,545,0,
36047012901,Census Tract 129.01, Kings, New York,911,352,352,0,559,559,0,
36047012902,Census Tract 129.02, Kings, New York,1168,221,221,0,947,941,6,
36047013000,Census Tract 130, Kings, New York,1557,373,373,0,1184,1184,0,
36047013100,Census Tract 131, Kings, New York,1976,755,755,0,1221,1221,0,
36047013200,Census Tract 132, Kings, New York,695,312,312,0,383,383,0,
36047013300,Census Tract 133, Kings, New York,1794,702,702,0,1092,1092,0,
36047013400,Census Tract 134, Kings, New York,1385,540,540,0,845,845,0,
36047013500,Census Tract 135, Kings, New York,1497,823,823,0,674,674,0,
36047013600,Census Tract 136, Kings, New York,1403,659,659,0,744,744,0,
36047013700,Census Tract 137, Kings, New York,1526,408,408,0,1118,1073,45,
36047013800,Census Tract 138, Kings, New York,1254,355,355,0,899,899,0,
36047013900,Census Tract 139, Kings, New York,1436,356,356,0,1080,1080,0,
36047014000,Census Tract 140, Kings, New York,840,364,364,0,476,476,0,
36047014101,Census Tract 141.01, Kings, New York,425,171,171,0,254,254,0,
36047014102,Census Tract 141.02, Kings, New York,778,243,236,7,535,535,0,
36047014200,Census Tract 142, Kings, New York,1269,518,518,0,751,751,0,
36047014300,Census Tract 143, Kings, New York,1345,301,301,0,1044,1035,9,
36047014500,Census Tract 145, Kings, New York,1748,331,331,0,1417,1417,0,
36047014700,Census Tract 147, Kings, New York,888,372,372,0,516,516,0,
36047014800,Census Tract 148, Kings, New York,436,289,289,0,147,147,0,
36047014901,Census Tract 149.01, Kings, New York,574,250,250,0,324,324,0,
36047014902,Census Tract 149.02, Kings, New York,1853,560,560,0,1293,1293,0,
36047015000,Census Tract 150, Kings, New York,613,337,337,0,276,276,0,
36047015100,Census Tract 151, Kings, New York,1734,872,834,38,862,862,0,
36047015200,Census Tract 152, Kings, New York,958,513,513,0,445,445,0,
36047015300,Census Tract 153, Kings, New York,1141,419,419,0,722,722,0,
36047015400,Census Tract 154, Kings, New York,10,10,10,0,0,0,0,
36047015500,Census Tract 155, Kings, New York,1574,890,890,0,684,684,0,
36047015700,Census Tract 157, Kings, New York,2078,888,888,0,1190,1190,0,
36047015900,Census Tract 159, Kings, New York,2341,1122,1122,0,1219,1157,62,
36047016000,Census Tract 160, Kings, New York,1612,386,386,0,1226,1226,0,
36047016100,Census Tract 161, Kings, New York,1491,671,671,0,820,820,0,
36047016200,Census Tract 162, Kings, New York,1144,383,383,0,761,761,0,
36047016300,Census Tract 163, Kings, New York,1545,420,420,0,1125,1117,8,
36047016400,Census Tract 164, Kings, New York,302,27,27,0,275,275,0,
36047016500,Census Tract 165, Kings, New York,2321,1525,1508,17,796,796,0,
36047016600,Census Tract 166, Kings, New York,698,613,613,0,85,85,0,
36047016700,Census Tract 167, Kings, New York,2286,1065,1065,0,1221,1221,0,
36047016800,Census Tract 168, Kings, New York,767,522,522,0,245,245,0,
36047016900,Census Tract 169, Kings, New York,2058,471,471,0,1587,1587,0,
36047017000,Census Tract 170, Kings, New York,1044,654,654,0,390,390,0,
36047017100,Census Tract 171, Kings, New York,1609,765,765,0,844,844,0,
36047017200,Census Tract 172, Kings, New York,1075,450,450,0,625,625,0,
36047017400,Census Tract 174, Kings, New York,736,515,511,4,221,218,3,
36047017500,Census Tract 175, Kings, New York,0,0,0,0,0,0,0,
36047017600,Census Tract 176, Kings, New York,874,483,483,0,391,391,0,
36047017700,Census Tract 177, Kings, New York,0,0,0,0,0,0,0,
36047017800,Census Tract 178, Kings, New York,896,309,309,0,587,587,0,
36047017900,Census Tract 179, Kings, New York,1566,544,544,0,1022,1022,0,
36047018000,Census Tract 180, Kings, New York,1065,521,521,0,544,544,0,
36047018100,Census Tract 181, Kings, New York,1969,531,531,0,1438,1438,0,
36047018200,Census Tract 182, Kings, New York,1109,522,522,0,587,587,0,
36047018300,Census Tract 183, Kings, New York,1162,393,393,0,769,749,20,
36047018400,Census Tract 184, Kings, New York,824,578,578,0,246,246,0,
36047018501,Census Tract 185.01, Kings, New York,1838,187,187,0,1651,1626,25,
36047018600,Census Tract 186, Kings, New York,745,380,380,0,365,365,0,
36047018700,Census Tract 187, Kings, New York,516,146,146,0,370,365,5,
36047018800,Census Tract 188, Kings, New York,1110,473,473,0,637,637,0,
36047019000,Census Tract 190, Kings, New York,1511,515,515,0,996,996,0,
36047019100,Census Tract 191, Kings, New York,1142,332,332,0,810,810,0,
36047019200,Census Tract 192, Kings, New York,703,245,245,0,458,458,0,
36047019300,Census Tract 193, Kings, New York,2548,1347,1347,0,1201,1201,0,
36047019400,Census Tract 194, Kings, New York,1101,504,504,0,597,597,0,
36047019500,Census Tract 195, Kings, New York,1689,1033,1033,0,656,656,0,
36047019600,Census Tract 196, Kings, New York,1413,511,511,0,902,902,0,
36047019700,Census Tract 197, Kings, New York,1758,962,962,0,796,796,0,
36047019800,Census Tract 198, Kings, New York,626,351,351,0,275,275,0,
36047019900,Census Tract 199, Kings, New York,1771,410,410,0,1361,1361,0,
36047020000,Census Tract 200, Kings, New York,690,373,373,0,317,317,0,
36047020100,Census Tract 201, Kings, New York,1884,636,636,0,1248,1248,0,
36047020200,Census Tract 202, Kings, New York,614,385,385,0,229,229,0,
36047020300,Census Tract 203, Kings, New York,693,226,226,0,467,467,0,
36047020400,Census Tract 204, Kings, New York,672,538,538,0,134,134,0,
36047020500,Census Tract 205, Kings, New York,1438,528,503,25,910,910,0,
36047020600,Census Tract 206, Kings, New York,824,534,534,0,290,290,0,
36047020700,Census Tract 207, Kings, New York,2292,1011,1011,0,1281,1281,0,
36047020800,Census Tract 208, Kings, New York,1041,434,434,0,607,607,0,
36047021000,Census Tract 210, Kings, New York,1319,460,460,0,859,859,0,
36047021100,Census Tract 211, Kings, New York,1220,288,288,0,932,932,0,
36047021200,Census Tract 212, Kings, New York,1354,392,392,0,962,943,19,
36047021300,Census Tract 213, Kings, New York,1910,56,56,0,1854,1854,0,
36047021400,Census Tract 214, Kings, New York,514,189,189,0,325,325,0,
36047021500,Census Tract 215, Kings, New York,2608,836,836,0,1772,1772,0,
36047021600,Census Tract 216, Kings, New York,848,187,187,0,661,661,0,
36047021700,Census Tract 217, Kings, New York,1725,315,315,0,1410,1402,8,
36047021800,Census Tract 218, Kings, New York,812,296,296,0,516,516,0,
36047021900,Census Tract 219, Kings, New York,1611,307,307,0,1304,1304,0,
36047022000,Census Tract 220, Kings, New York,1333,278,278,0,1055,1055,0,
36047022100,Census Tract 221, Kings, New York,1544,371,371,0,1173,1173,0,
36047022200,Census Tract 222, Kings, New York,1019,223,223,0,796,796,0,
36047022400,Census Tract 224, Kings, New York,1310,409,409,0,901,887,14,
36047022600,Census Tract 226, Kings, New York,543,187,187,0,356,356,0,
36047022700,Census Tract 227, Kings, New York,1702,491,491,0,1211,1211,0,
36047022800,Census Tract 228, Kings, New York,859,314,314,0,545,545,0,
36047022900,Census Tract 229, Kings, New York,1744,465,465,0,1279,1270,9,
36047023000,Census Tract 230, Kings, New York,932,286,286,0,646,646,0,
36047023100,Census Tract 231, Kings, New York,1645,554,554,0,1091,1091,0,
36047023200,Census Tract 232, Kings, New York,1152,302,302,0,850,850,0,
36047023300,Census Tract 233, Kings, New York,2119,489,489,0,1630,1630,0,
36047023400,Census Tract 234, Kings, New York,1242,110,110,0,1132,1132,0,
36047023500,Census Tract 235, Kings, New York,1431,300,300,0,1131,1131,0,
36047023600,Census Tract 236, Kings, New York,1374,91,91,0,1283,1283,0,
36047023800,Census Tract 238, Kings, New York,1066,303,303,0,763,763,0,
36047024000,Census Tract 240, Kings, New York,1387,306,306,0,1081,1069,12,
36047024100,Census Tract 241, Kings, New York,1077,176,176,0,901,901,0,
36047024200,Census Tract 242, Kings, New York,722,345,345,0,377,377,0,
36047024300,Census Tract 243, Kings, New York,1883,648,648,0,1235,1235,0,
36047024400,Census Tract 244, Kings, New York,943,370,370,0,573,560,13,
36047024500,Census Tract 245, Kings, New York,1895,484,484,0,1411,1390,21,
36047024600,Census Tract 246, Kings, New York,887,433,433,0,454,454,0,
36047024700,Census Tract 247, Kings, New York,1215,105,105,0,1110,1110,0,
36047024800,Census Tract 248, Kings, New York,770,324,324,0,446,446,0,
36047024900,Census Tract 249, Kings, New York,1889,377,377,0,1512,1512,0,
36047025000,Census Tract 250, Kings, New York,538,272,272,0,266,266,0,
36047025100,Census Tract 251, Kings, New York,1653,301,301,0,1352,1352,0,
36047025200,Census Tract 252, Kings, New York,1915,587,587,0,1328,1328,0,
36047025300,Census Tract 253, Kings, New York,1324,360,360,0,964,964,0,
36047025400,Census Tract 254, Kings, New York,1074,490,490,0,584,584,0,
36047025500,Census Tract 255, Kings, New York,2208,91,91,0,2117,2099,18,
36047025600,Census Tract 256, Kings, New York,925,429,429,0,496,496,0,
36047025700,Census Tract 257, Kings, New York,748,156,156,0,592,592,0,
36047025800,Census Tract 258, Kings, New York,1529,333,333,0,1196,1196,0,
36047025901,Census Tract 259.01, Kings, New York,716,56,56,0,660,660,0,
36047025902,Census Tract 259.02, Kings, New York,1357,44,44,0,1313,1302,11,
36047026000,Census Tract 260, Kings, New York,1089,532,532,0,557,557,0,
36047026100,Census Tract 261, Kings, New York,2161,65,65,0,2096,2096,0,
36047026200,Census Tract 262, Kings, New York,783,349,349,0,434,434,0,
36047026300,Census Tract 263, Kings, New York,957,225,225,0,732,732,0,
36047026400,Census Tract 264, Kings, New York,1477,304,304,0,1173,1164,9,
36047026500,Census Tract 265, Kings, New York,1782,507,507,0,1275,1275,0,
36047026600,Census Tract 266, Kings, New York,1118,464,464,0,654,654,0,
36047026700,Census Tract 267, Kings, New York,1918,676,676,0,1242,1242,0,
36047026800,Census Tract 268, Kings, New York,1523,573,573,0,950,950,0,
36047026900,Census Tract 269, Kings, New York,1261,418,418,0,843,843,0,
36047027000,Census Tract 270, Kings, New York,832,241,241,0,591,591,0,
36047027100,Census Tract 271, Kings, New York,1268,201,201,0,1067,1067,0,
36047027200,Census Tract 272, Kings, New York,1319,516,516,0,803,803,0,
36047027300,Census Tract 273, Kings, New York,1385,517,517,0,868,868,0,
36047027400,Census Tract 274, Kings, New York,995,455,455,0,540,540,0,
36047027500,Census Tract 275, Kings, New York,1802,575,556,19,1227,1227,0,
36047027600,Census Tract 276, Kings, New York,1208,174,174,0,1034,1034,0,
36047027700,Census Tract 277, Kings, New York,1682,426,426,0,1256,1256,0,
36047027800,Census Tract 278, Kings, New York,1162,380,380,0,782,782,0,
36047027900,Census Tract 279, Kings, New York,1629,459,459,0,1170,1170,0,
36047028000,Census Tract 280, Kings, New York,653,360,360,0,293,293,0,
36047028100,Census Tract 281, Kings, New York,1807,143,143,0,1664,1662,2,
36047028200,Census Tract 282, Kings, New York,1358,614,608,6,744,744,0,
36047028300,Census Tract 283, Kings, New York,1455,239,239,0,1216,1216,0,
36047028400,Census Tract 284, Kings, New York,1397,182,182,0,1215,1215,0,
36047028501,Census Tract 285.01, Kings, New York,152,0,0,0,152,152,0,
36047028502,Census Tract 285.02, Kings, New York,1132,0,0,0,1132,1132,0,
36047028600,Census Tract 286, Kings, New York,1848,172,172,0,1676,1676,0,
36047028700,Census Tract 287, Kings, New York,1332,267,267,0,1065,1065,0,
36047028800,Census Tract 288, Kings, New York,981,334,334,0,647,647,0,
36047028900,Census Tract 289, Kings, New York,1487,366,366,0,1121,1100,21,
36047029000,Census Tract 290, Kings, New York,1569,191,191,0,1378,1378,0,
36047029100,Census Tract 291, Kings, New York,1301,258,258,0,1043,1043,0,
36047029200,Census Tract 292, Kings, New York,1015,206,206,0,809,809,0,
36047029300,Census Tract 293, Kings, New York,1351,284,284,0,1067,1067,0,
36047029400,Census Tract 294, Kings, New York,613,86,86,0,527,527,0,
36047029500,Census Tract 295, Kings, New York,1802,452,452,0,1350,1350,0,
36047029600,Census Tract 296, Kings, New York,2093,533,518,15,1560,1560,0,
36047029700,Census Tract 297, Kings, New York,1800,788,788,0,1012,1012,0,
36047029800,Census Tract 298, Kings, New York,1273,646,646,0,627,627,0,
36047029900,Census Tract 299, Kings, New York,871,249,249,0,622,622,0,
36047030000,Census Tract 300, Kings, New York,1338,465,465,0,873,873,0,
36047030100,Census Tract 301, Kings, New York,1137,361,361,0,776,776,0,
36047030200,Census Tract 302, Kings, New York,1405,648,636,12,757,749,8,
36047030300,Census Tract 303, Kings, New York,2166,340,340,0,1826,1746,80,
36047030400,Census Tract 304, Kings, New York,1727,402,402,0,1325,1325,0,
36047030500,Census Tract 305, Kings, New York,2980,242,242,0,2738,2689,49,
36047030600,Census Tract 306, Kings, New York,637,379,379,0,258,254,4,
36047030700,Census Tract 307, Kings, New York,3041,504,504,0,2537,2537,0,
36047030800,Census Tract 308, Kings, New York,803,570,570,0,233,233,0,
36047030900,Census Tract 309, Kings, New York,812,208,208,0,604,599,5,
36047031100,Census Tract 311, Kings, New York,1267,167,167,0,1100,1100,0,
36047031300,Census Tract 313, Kings, New York,2240,421,421,0,1819,1819,0,
36047031401,Census Tract 314.01, Kings, New York,1832,1005,975,30,827,827,0,
36047031402,Census Tract 314.02, Kings, New York,0,0,0,0,0,0,0,
36047031500,Census Tract 315, Kings, New York,2503,293,293,0,2210,2154,56,
36047031701,Census Tract 317.01, Kings, New York,1467,310,310,0,1157,1157,0,
36047031702,Census Tract 317.02, Kings, New York,1585,408,408,0,1177,1177,0,
36047031900,Census Tract 319, Kings, New York,1241,276,276,0,965,965,0,
36047032100,Census Tract 321, Kings, New York,2286,186,186,0,2100,2100,0,
36047032300,Census Tract 323, Kings, New York,1482,268,268,0,1214,1214,0,
36047032500,Census Tract 325, Kings, New York,2595,88,88,0,2507,2507,0,
36047032600,Census Tract 326, Kings, New York,2366,437,437,0,1929,1929,0,
36047032700,Census Tract 327, Kings, New York,1289,296,296,0,993,993,0,
36047032800,Census Tract 328, Kings, New York,1137,456,456,0,681,681,0,
36047032900,Census Tract 329, Kings, New York,2204,370,370,0,1834,1834,0,
36047033000,Census Tract 330, Kings, New York,1876,223,223,0,1653,1653,0,
36047033100,Census Tract 331, Kings, New York,1559,399,399,0,1160,1136,24,
36047033300,Census Tract 333, Kings, New York,1343,351,351,0,992,992,0,
36047033500,Census Tract 335, Kings, New York,871,336,329,7,535,535,0,
36047033600,Census Tract 336, Kings, New York,1598,766,766,0,832,832,0,
36047033701,Census Tract 337.01, Kings, New York,824,212,212,0,612,612,0,
36047033702,Census Tract 337.02, Kings, New York,542,142,142,0,400,400,0,
36047033900,Census Tract 339, Kings, New York,1995,552,552,0,1443,1427,16,
36047034000,Census Tract 340, Kings, New York,628,6,6,0,622,622,0,
36047034100,Census Tract 341, Kings, New York,1294,196,196,0,1098,1098,0,
36047034200,Census Tract 342, Kings, New York,2786,167,167,0,2619,2619,0,
36047034300,Census Tract 343, Kings, New York,2011,252,252,0,1759,1759,0,
36047034500,Census Tract 345, Kings, New York,1187,339,339,0,848,837,11,
36047034700,Census Tract 347, Kings, New York,1810,350,350,0,1460,1460,0,
36047034800,Census Tract 348, Kings, New York,897,114,114,0,783,783,0,
36047034901,Census Tract 349.01, Kings, New York,743,20,20,0,723,723,0,
36047034902,Census Tract 349.02, Kings, New York,1614,178,178,0,1436,1401,35,
36047035000,Census Tract 350, Kings, New York,1560,538,538,0,1022,1022,0,
36047035101,Census Tract 351.01, Kings, New York,901,118,118,0,783,783,0,
36047035102,Census Tract 351.02, Kings, New York,864,168,168,0,696,696,0,
36047035200,Census Tract 352, Kings, New York,504,0,0,0,504,492,12,
36047035301,Census Tract 353.01, Kings, New York,1093,18,18,0,1075,1075,0,
36047035302,Census Tract 353.02, Kings, New York,919,134,134,0,785,785,0,
36047035400,Census Tract 354, Kings, New York,2756,1458,1423,35,1298,1283,15,
36047035500,Census Tract 355, Kings, New York,2077,84,84,0,1993,1993,0,
36047035601,Census Tract 356.01, Kings, New York,1440,390,390,0,1050,1050,0,
36047035602,Census Tract 356.02, Kings, New York,2763,1271,1271,0,1492,1492,0,
36047035701,Census Tract 357.01, Kings, New York,1015,35,35,0,980,980,0,
36047035702,Census Tract 357.02, Kings, New York,0,0,0,0,0,0,0,
36047035900,Census Tract 359, Kings, New York,2434,279,279,0,2155,2155,0,
36047036001,Census Tract 360.01, Kings, New York,1669,400,400,0,1269,1269,0,
36047036002,Census Tract 360.02, Kings, New York,2046,136,136,0,1910,1910,0,
36047036100,Census Tract 361, Kings, New York,1161,172,172,0,989,916,73,
36047036200,Census Tract 362, Kings, New York,1320,375,375,0,945,765,180,
36047036300,Census Tract 363, Kings, New York,1940,265,265,0,1675,1675,0,
36047036400,Census Tract 364, Kings, New York,933,303,303,0,630,630,0,
36047036501,Census Tract 365.01, Kings, New York,1279,113,113,0,1166,1166,0,
36047036502,Census Tract 365.02, Kings, New York,503,109,109,0,394,394,0,
36047036600,Census Tract 366, Kings, New York,1283,300,300,0,983,983,0,
36047036700,Census Tract 367, Kings, New York,504,148,148,0,356,356,0,
36047036900,Census Tract 369, Kings, New York,2477,308,308,0,2169,2116,53,
36047037000,Census Tract 370, Kings, New York,1446,947,947,0,499,499,0,
36047037100,Census Tract 371, Kings, New York,1636,492,481,11,1144,1144,0,
36047037300,Census Tract 373, Kings, New York,1843,334,334,0,1509,1509,0,
36047037401,Census Tract 374.01, Kings, New York,1858,679,679,0,1179,1179,0,
36047037402,Census Tract 374.02, Kings, New York,2027,398,398,0,1629,1618,11,
36047037500,Census Tract 375, Kings, New York,1393,272,272,0,1121,1121,0,
36047037700,Census Tract 377, Kings, New York,1858,654,654,0,1204,1204,0,
36047037900,Census Tract 379, Kings, New York,1614,556,556,0,1058,1058,0,
36047038100,Census Tract 381, Kings, New York,2379,438,438,0,1941,1932,9,
36047038200,Census Tract 382, Kings, New York,2134,57,57,0,2077,2077,0,
36047038300,Census Tract 383, Kings, New York,1937,843,832,11,1094,1094,0,
36047038500,Census Tract 385, Kings, New York,1525,423,423,0,1102,1102,0,
36047038600,Census Tract 386, Kings, New York,1056,522,522,0,534,534,0,
36047038700,Census Tract 387, Kings, New York,1453,501,501,0,952,926,26,
36047038800,Census Tract 388, Kings, New York,1705,477,468,9,1228,1228,0,
36047038900,Census Tract 389, Kings, New York,1192,340,340,0,852,840,12,
36047039000,Census Tract 390, Kings, New York,777,501,501,0,276,276,0,
36047039100,Census Tract 391, Kings, New York,1456,127,127,0,1329,1329,0,
36047039200,Census Tract 392, Kings, New York,1155,340,340,0,815,815,0,
36047039300,Census Tract 393, Kings, New York,1487,405,384,21,1082,1082,0,
36047039400,Census Tract 394, Kings, New York,706,389,389,0,317,317,0,
36047039500,Census Tract 395, Kings, New York,1694,260,260,0,1434,1434,0,
36047039600,Census Tract 396, Kings, New York,647,264,264,0,383,383,0,
36047039700,Census Tract 397, Kings, New York,1353,332,332,0,1021,1021,0,
36047039800,Census Tract 398, Kings, New York,791,413,413,0,378,378,0,
36047039900,Census Tract 399, Kings, New York,1670,259,259,0,1411,1394,17,
36047040000,Census Tract 400, Kings, New York,986,417,417,0,569,569,0,
36047040100,Census Tract 401, Kings, New York,1144,501,501,0,643,643,0,
36047040200,Census Tract 402, Kings, New York,909,445,445,0,464,464,0,
