GEOID,Census_Tract,County,State,Total,Total_Owner,Owner_plumbing,Owner_no_plumbing,Total_Renter,Renter_plumbing,Renter_no_plumbing
36005013000,Census Tract 130, Bronx, New York,461,281,281,0,180,180,0,
36005013100,Census Tract 131, Bronx, New York,2098,214,214,0,1884,1884,0,
36005013200,Census Tract 132, Bronx, New York,2596,1662,1662,0,934,934,0,
36005013300,Census Tract 133, Bronx, New York,2276,167,167,0,2109,2109,0,
36005013500,Census Tract 135, Bronx, New York,1473,97,97,0,1376,1372,4,
36005013800,Census Tract 138, Bronx, New York,1152,712,712,0,440,440,0,
36005014100,Census Tract 141, Bronx, New York,2527,143,143,0,2384,2311,73,
36005014300,Census Tract 143, Bronx, New York,649,15,15,0,634,613,21,
36005014400,Census Tract 144, Bronx, New York,2393,297,297,0,2096,2096,0,
36005014500,Census Tract 145, Bronx, New York,2355,25,25,0,2330,2235,95,
36005014701,Census Tract 147.01, Bronx, New York,2026,0,0,0,2026,2026,0,
36005014702,Census Tract 147.02, Bronx, New York,1893,5,5,0,1888,1871,17,
36005014900,Census Tract 149, Bronx, New York,1484,153,153,0,1331,1269,62,
36005015100,Census Tract 151, Bronx, New York,2027,297,297,0,1730,1717,13,
36005015200,Census Tract 152, Bronx, New York,962,525,525,0,437,437,0,
36005015300,Census Tract 153, Bronx, New York,1645,180,180,0,1465,1441,24,
36005015500,Census Tract 155, Bronx, New York,1082,53,53,0,1029,1029,0,
36005015700,Census Tract 157, Bronx, New York,1650,136,136,0,1514,1514,0,
36005015800,Census Tract 158, Bronx, New York,441,208,208,0,233,233,0,
36005015900,Census Tract 159, Bronx, New York,772,79,79,0,693,693,0,
36005016000,Census Tract 160, Bronx, New York,1488,838,838,0,650,650,0,
36005016100,Census Tract 161, Bronx, New York,1880,15,15,0,1865,1858,7,
36005016200,Census Tract 162, Bronx, New York,537,250,250,0,287,287,0,
36005016300,Census Tract 163, Bronx, New York,0,0,0,0,0,0,0,
36005016400,Census Tract 164, Bronx, New York,415,271,271,0,144,144,0,
36005016500,Census Tract 165, Bronx, New York,320,4,4,0,316,316,0,
36005016600,Census Tract 166, Bronx, New York,776,456,456,0,320,320,0,
36005016700,Census Tract 167, Bronx, New York,1085,63,63,0,1022,1022,0,
36005016900,Census Tract 169, Bronx, New York,541,65,65,0,476,476,0,
